Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Geo ID,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Month Name,Order Quarter,Order Day of Week,Year-Quarter,Year-Month,Shipping Days,Profit Margin (%),Revenue Per Unit,Has Discount,Is Profitable,Estimated Cost,Discount Amount
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,612,55.5,2,0.0,9.99,2014,5,May,2,Tuesday,2014Q2,2014-05,2,18.0,27.75,0,1,45.51,0.0
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,532,8.56,2,0.0,2.4824,2014,8,August,3,Wednesday,2014Q3,2014-08,5,29.0,4.28,0,1,6.08,0.0
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,532,213.48,3,0.2,16.011,2014,8,August,3,Wednesday,2014Q3,2014-08,5,7.5,71.16,1,1,197.47,53.37
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,532,22.72,4,0.2,7.384,2014,8,August,3,Wednesday,2014Q3,2014-08,5,32.5,5.68,1,1,15.34,5.68
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,109,19.46,7,0.0,5.0596,2016,12,December,4,Friday,2016Q4,2016-12,4,26.0,2.78,0,1,14.4,0.0
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,109,60.34,7,0.0,15.6884,2016,12,December,4,Friday,2016Q4,2016-12,4,26.0,8.62,0,1,44.65,0.0
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,304,71.372,2,0.3,-1.0196,2017,7,July,3,Sunday,2017Q3,2017-07,2,-1.43,35.69,1,0,72.39,30.59
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,608,1044.63,3,0.0,240.2649,2015,9,September,3,Friday,2015Q3,2015-09,5,23.0,348.21,0,1,804.37,0.0
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,500,11.648,2,0.2,4.2224,2016,1,January,1,Saturday,2016Q1,2016-01,4,36.25,5.82,1,1,7.43,2.91
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,500,90.57,3,0.0,11.7741,2016,1,January,1,Saturday,2016Q1,2016-01,4,13.0,30.19,0,1,78.8,0.0
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,304,3083.43,7,0.5,-1665.0522,2015,9,September,3,Thursday,2015Q3,2015-09,4,-54.0,440.49,1,0,4748.48,3083.43
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,304,9.618,2,0.7,-7.0532,2015,9,September,3,Thursday,2015Q3,2015-09,4,-73.33,4.81,1,0,16.67,22.44
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,304,124.2,3,0.2,15.525,2015,9,September,3,Thursday,2015Q3,2015-09,4,12.5,41.4,1,1,108.68,31.05
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,304,3.264,2,0.2,1.1016,2015,9,September,3,Thursday,2015Q3,2015-09,4,33.75,1.63,1,1,2.16,0.82
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,304,86.304,6,0.2,9.7092,2015,9,September,3,Thursday,2015Q3,2015-09,4,11.25,14.38,1,1,76.59,21.58
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,304,6.858,6,0.7,-5.715,2015,9,September,3,Thursday,2015Q3,2015-09,4,-83.33,1.14,1,0,12.57,16.0
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,304,15.76,2,0.2,3.546,2015,9,September,3,Thursday,2015Q3,2015-09,4,22.5,7.88,1,1,12.21,3.94
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,153,29.472,3,0.2,9.9468,2017,10,October,4,Thursday,2017Q4,2017-10,4,33.75,9.82,1,1,19.53,7.37
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,174,1097.544,7,0.2,123.4737,2016,12,December,4,Thursday,2016Q4,2016-12,2,11.25,156.79,1,1,974.07,274.39
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,174,190.92,5,0.6,-147.963,2016,12,December,4,Thursday,2016Q4,2016-12,2,-77.5,38.18,1,0,338.88,286.38
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,154,113.328,9,0.2,35.415,2015,12,December,4,Sunday,2015Q4,2015-12,4,31.25,12.59,1,1,77.91,28.33
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,154,532.3992,3,0.32,-46.9764,2015,12,December,4,Sunday,2015Q4,2015-12,4,-8.82,177.47,1,0,579.38,250.54
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,154,212.058,3,0.3,-15.147,2015,12,December,4,Sunday,2015Q4,2015-12,4,-7.14,70.69,1,0,227.2,90.88
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,154,371.168,4,0.2,41.7564,2015,12,December,4,Sunday,2015Q4,2015-12,4,11.25,92.79,1,1,329.41,92.79
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,20,147.168,4,0.2,16.5564,2017,9,September,3,Sunday,2017Q3,2017-09,5,11.25,36.79,1,1,130.61,36.79
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,500,77.88,2,0.0,3.894,2016,7,July,3,Sunday,2016Q3,2016-07,5,5.0,38.94,0,1,73.99,0.0
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,350,95.616,2,0.2,9.5616,2017,9,September,3,Tuesday,2017Q3,2017-09,4,10.0,47.81,1,1,86.05,23.9
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,90,45.98,2,0.0,19.7714,2016,3,March,1,Friday,2016Q1,2016-03,2,43.0,22.99,0,1,26.21,0.0
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,90,17.46,2,0.0,8.2062,2016,3,March,1,Friday,2016Q1,2016-03,2,47.0,8.73,0,1,9.25,0.0
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,86,211.96,4,0.0,8.4784,2014,10,October,4,Monday,2014Q4,2014-10,5,4.0,52.99,0,1,203.48,0.0
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,206,45.0,3,0.0,4.95,2016,6,June,2,Monday,2016Q2,2016-06,5,11.0,15.0,0,1,40.05,0.0
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,206,21.8,2,0.0,6.104,2016,6,June,2,Monday,2016Q2,2016-06,5,28.0,10.9,0,1,15.7,0.0
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,45,38.22,6,0.0,17.9634,2015,4,April,2,Saturday,2015Q2,2015-04,4,47.0,6.37,0,1,20.26,0.0
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,45,75.18,6,0.0,35.3346,2015,4,April,2,Saturday,2015Q2,2015-04,4,47.0,12.53,0,1,39.85,0.0
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-FU-10001706,45,6.16,2,0.0,2.9568,2015,4,April,2,Saturday,2015Q2,2015-04,4,48.0,3.08,0,1,3.2,0.0
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-CH-10003061,45,89.99,1,0.0,17.0981,2015,4,April,2,Saturday,2015Q2,2015-04,4,19.0,89.99,0,1,72.89,0.0
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,263,15.26,7,0.0,6.2566,2016,12,December,4,Sunday,2016Q4,2016-12,6,41.0,2.18,0,1,9.0,0.0
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,263,1029.95,5,0.0,298.6855,2016,12,December,4,Sunday,2016Q4,2016-12,6,29.0,205.99,0,1,731.26,0.0
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,271,208.56,6,0.0,52.14,2016,6,June,2,Friday,2016Q2,2016-06,1,25.0,34.76,0,1,156.42,0.0
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10001569,271,32.4,5,0.0,15.552,2016,6,June,2,Friday,2016Q2,2016-06,1,48.0,6.48,0,1,16.85,0.0
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,FUR-CH-10003968,271,319.41,5,0.1,7.098,2016,6,June,2,Friday,2016Q2,2016-06,1,2.22,63.88,1,1,312.31,35.49
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10000587,271,14.56,2,0.0,6.9888,2016,6,June,2,Friday,2016Q2,2016-06,1,48.0,7.28,0,1,7.57,0.0
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,TEC-AC-10002167,271,30.0,2,0.0,3.3,2016,6,June,2,Friday,2016Q2,2016-06,1,11.0,15.0,0,1,26.7,0.0
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-BI-10001460,271,48.48,4,0.2,16.362,2016,6,June,2,Friday,2016Q2,2016-06,1,33.75,12.12,1,1,32.12,12.12
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-AR-10001868,271,1.68,1,0.0,0.84,2016,6,June,2,Friday,2016Q2,2016-06,1,50.0,1.68,0,1,0.84,0.0
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,501,13.98,2,0.0,6.1512,2015,11,November,4,Tuesday,2015Q4,2015-11,6,44.0,6.99,0,1,7.83,0.0
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-BI-10001078,501,25.824,6,0.2,9.3612,2015,11,November,4,Tuesday,2015Q4,2015-11,6,36.25,4.3,1,1,16.46,6.46
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-PA-10003892,501,146.73,3,0.0,68.9631,2015,11,November,4,Tuesday,2015Q4,2015-11,6,47.0,48.91,0,1,77.77,0.0
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,FUR-FU-10000397,501,79.76,4,0.0,22.3328,2015,11,November,4,Tuesday,2015Q4,2015-11,6,28.0,19.94,0,1,57.43,0.0
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,8,213.115,5,0.3,-15.2225,2015,4,April,2,Thursday,2015Q2,2015-04,5,-7.14,42.62,1,0,228.34,91.34
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,455,1113.024,8,0.2,111.3024,2014,12,December,4,Friday,2014Q4,2014-12,5,10.0,139.13,1,1,1001.72,278.26
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,TEC-PH-10002726,455,167.968,4,0.2,62.988,2014,12,December,4,Friday,2014Q4,2014-12,5,37.5,41.99,1,1,104.98,41.99
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,448,75.88,2,0.0,35.6636,2016,6,June,2,Saturday,2016Q2,2016-06,2,47.0,37.94,0,1,40.22,0.0
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,264,4.616,1,0.2,1.731,2016,9,September,3,Sunday,2016Q3,2016-09,5,37.5,4.62,1,1,2.88,1.15
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,73,19.05,3,0.0,8.763,2017,9,September,3,Thursday,2017Q3,2017-09,3,46.0,6.35,0,1,10.29,0.0
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,435,831.936,8,0.2,-114.3912,2015,4,April,2,Sunday,2015Q2,2015-04,6,-13.75,103.99,1,0,946.33,207.98
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-FU-10003708,435,97.04,2,0.2,1.213,2015,4,April,2,Sunday,2015Q2,2015-04,6,1.25,48.52,1,1,95.83,24.26
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,OFF-ST-10004123,435,72.784,1,0.2,-18.196,2015,4,April,2,Sunday,2015Q2,2015-04,6,-25.0,72.78,1,0,90.98,18.2
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,154,1.248,3,0.8,-1.9344,2017,12,December,4,Saturday,2017Q4,2017-12,2,-155.0,0.42,1,0,3.18,4.99
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,154,9.708,3,0.6,-5.8248,2017,12,December,4,Saturday,2017Q4,2017-12,2,-60.0,3.24,1,0,15.53,14.56
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,154,27.24,3,0.2,2.724,2017,12,December,4,Saturday,2017Q4,2017-12,2,10.0,9.08,1,1,24.52,6.81
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,155,19.3,5,0.6,-14.475,2014,11,November,4,Wednesday,2014Q4,2014-11,5,-75.0,3.86,1,0,33.78,28.95
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,317,208.16,1,0.0,56.2032,2016,6,June,2,Sunday,2016Q2,2016-06,3,27.0,208.16,0,1,151.96,0.0
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,317,16.74,3,0.0,8.0352,2016,6,June,2,Sunday,2016Q2,2016-06,3,48.0,5.58,0,1,8.7,0.0
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,533,14.9,5,0.0,4.172,2014,10,October,4,Sunday,2014Q4,2014-10,4,28.0,2.98,0,1,10.73,0.0
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-ST-10002370,533,21.39,1,0.0,6.2031,2014,10,October,4,Sunday,2014Q4,2014-10,4,29.0,21.39,0,1,15.19,0.0
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,405,200.984,7,0.2,62.8075,2015,9,September,3,Thursday,2015Q3,2015-09,5,31.25,28.71,1,1,138.18,50.25
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,9,230.376,3,0.2,-48.9549,2017,11,November,4,Monday,2017Q4,2017-11,3,-21.25,76.79,1,0,279.33,57.59
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,418,301.96,2,0.0,33.2156,2017,5,May,2,Sunday,2017Q2,2017-05,2,11.0,150.98,0,1,268.74,0.0
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,95,19.99,1,0.0,6.7966,2017,10,October,4,Thursday,2017Q4,2017-10,7,34.0,19.99,0,1,13.19,0.0
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,95,6.16,2,0.0,2.9568,2017,10,October,4,Thursday,2017Q4,2017-10,7,48.0,3.08,0,1,3.2,0.0
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,153,158.368,7,0.2,13.8572,2016,4,April,2,Tuesday,2016Q2,2016-04,5,8.75,22.62,1,1,144.51,39.59
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,498,20.1,3,0.0,6.633,2016,9,September,3,Saturday,2016Q3,2016-09,5,33.0,6.7,0,1,13.47,0.0
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,TEC-PH-10004093,498,73.584,2,0.2,8.2782,2016,9,September,3,Saturday,2016Q3,2016-09,5,11.25,36.79,1,1,65.31,18.4
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-PA-10000304,498,6.48,1,0.0,3.1104,2016,9,September,3,Saturday,2016Q3,2016-09,5,48.0,6.48,0,1,3.37,0.0
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-PA-10003177,93,12.96,2,0.0,6.2208,2015,1,January,1,Saturday,2015Q1,2015-01,5,48.0,6.48,0,1,6.74,0.0
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,FUR-FU-10003799,93,53.34,3,0.0,16.5354,2015,1,January,1,Saturday,2015Q1,2015-01,5,31.0,17.78,0,1,36.8,0.0
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-BI-10002852,93,32.96,2,0.0,16.1504,2015,1,January,1,Saturday,2015Q1,2015-01,5,49.0,16.48,0,1,16.81,0.0
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,598,5.682,1,0.7,-3.788,2017,11,November,4,Monday,2017Q4,2017-11,6,-66.67,5.68,1,0,9.47,13.26
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,264,96.53,7,0.0,40.5426,2017,11,November,4,Thursday,2017Q4,2017-11,2,42.0,13.79,0,1,55.99,0.0
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,533,51.312,3,0.2,17.9592,2017,6,June,2,Saturday,2017Q2,2017-06,3,35.0,17.1,1,1,33.35,12.83
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,98,77.88,6,0.0,22.5852,2016,9,September,3,Tuesday,2016Q3,2016-09,5,29.0,12.98,0,1,55.29,0.0
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,8,64.624,7,0.2,22.6184,2016,8,August,3,Monday,2016Q3,2016-08,4,35.0,9.23,1,1,42.01,16.16
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,TEC-AC-10001767,8,95.976,3,0.2,-10.7973,2016,8,August,3,Monday,2016Q3,2016-08,4,-11.25,31.99,1,0,106.77,23.99
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-BI-10002609,8,1.788,3,0.8,-3.0396,2016,8,August,3,Monday,2016Q3,2016-08,4,-170.0,0.6,1,0,4.83,7.15
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,OFF-PA-10004040,95,23.92,4,0.0,11.7208,2016,12,December,4,Thursday,2016Q4,2016-12,3,49.0,5.98,0,1,12.2,0.0
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,TEC-AC-10001552,556,238.896,6,0.2,-26.8758,2015,11,November,4,Friday,2015Q4,2015-11,4,-11.25,39.82,1,0,265.77,59.72
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,FUR-FU-10004006,556,102.36,3,0.2,-3.8385,2015,11,November,4,Friday,2015Q4,2015-11,4,-3.75,34.12,1,0,106.2,25.59
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,OFF-BI-10002794,556,36.882,3,0.7,-25.8174,2015,11,November,4,Friday,2015Q4,2015-11,4,-70.0,12.29,1,0,62.7,86.06
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-AC-10003499,403,74.112,8,0.2,17.6016,2017,11,November,4,Thursday,2017Q4,2017-11,5,23.75,9.26,1,1,56.51,18.53
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-PH-10002844,403,27.992,1,0.2,2.0994,2017,11,November,4,Thursday,2017Q4,2017-11,5,7.5,27.99,1,1,25.89,7.0
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,OFF-AR-10000390,403,3.304,1,0.2,1.0738,2017,11,November,4,Thursday,2017Q4,2017-11,5,32.5,3.3,1,1,2.23,0.83
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,TEC-AC-10000844,23,339.96,5,0.2,67.992,2015,10,October,4,Thursday,2015Q4,2015-10,5,20.0,67.99,1,1,271.97,84.99
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,FUR-FU-10001934,265,41.96,2,0.0,10.9096,2017,12,December,4,Monday,2017Q4,2017-12,5,26.0,20.98,0,1,31.05,0.0
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-AR-10000380,57,75.96,2,0.0,22.788,2016,11,November,4,Thursday,2016Q4,2016-11,7,30.0,37.98,0,1,53.17,0.0
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-BI-10003981,57,27.24,6,0.0,13.3476,2016,11,November,4,Thursday,2016Q4,2016-11,7,49.0,4.54,0,1,13.89,0.0
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-FA-10000621,279,40.096,14,0.2,14.5348,2014,8,August,3,Monday,2014Q3,2014-08,2,36.25,2.86,1,1,25.56,10.02
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002600,279,4.72,2,0.2,1.652,2014,8,August,3,Monday,2014Q3,2014-08,2,35.0,2.36,1,1,3.07,1.18
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-PA-10004965,279,23.976,3,0.2,7.4925,2014,8,August,3,Monday,2014Q3,2014-08,2,31.25,7.99,1,1,16.48,5.99
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-EN-10002504,279,130.464,6,0.2,44.0316,2014,8,August,3,Monday,2014Q3,2014-08,2,33.75,21.74,1,1,86.43,32.62
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,FUR-TA-10001768,627,787.53,3,0.0,165.3813,2015,3,March,1,Monday,2015Q1,2015-03,4,21.0,262.51,0,1,622.15,0.0
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,OFF-BI-10003650,425,157.794,1,0.7,-115.7156,2015,4,April,2,Sunday,2015Q2,2015-04,5,-73.33,157.79,1,0,273.51,368.19
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,FUR-FU-10002157,208,47.04,3,0.0,18.3456,2016,6,June,2,Sunday,2016Q2,2016-06,3,39.0,15.68,0,1,28.69,0.0
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-BI-10003910,208,30.84,4,0.0,13.878,2016,6,June,2,Sunday,2016Q2,2016-06,3,45.0,7.71,0,1,16.96,0.0
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,OFF-ST-10000777,208,226.56,6,0.0,63.4368,2016,6,June,2,Sunday,2016Q2,2016-06,3,28.0,37.76,0,1,163.12,0.0
